                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.41978,                0.42466,                0.92952,                0.94601,                   0.76,                0.87692,                0.52467,                 1.3737,                0.77835,                 1.8635,               0.001189,               0.001189,               0.001189
                     91,                0.38586,                0.36202,                0.90429,                 0.9591,                   0.76,                0.84936,                0.51783,                 1.3621,                0.74878,                 1.8884,                0.00109,                0.00109,                0.00109
                     92,                 0.3895,                0.34175,                0.89939,                0.87421,                0.83419,                 0.8952,                0.53742,                 1.3637,                0.73291,                  1.893,               0.000991,               0.000991,               0.000991
                     93,                0.38027,                0.32964,                0.90347,                0.94966,                 0.7549,                0.90347,                0.53975,                 1.3393,                0.72655,                  1.837,               0.000892,               0.000892,               0.000892
                     94,                 0.3754,                0.31597,                0.89245,                0.94993,                0.75886,                0.89759,                0.54446,                  1.319,                0.72288,                 1.8137,               0.000793,               0.000793,               0.000793
                     95,                0.36004,                0.31397,                0.87567,                 0.8787,                0.86964,                0.92295,                0.56962,                  1.334,                 0.7556,                 1.8119,               0.000694,               0.000694,               0.000694
                     96,                0.35753,                0.31079,                0.87663,                0.87812,                0.86492,                0.93155,                0.56831,                 1.3389,                 0.7336,                 1.8327,               0.000595,               0.000595,               0.000595
                     97,                0.35333,                0.30195,                0.86982,                0.83842,                   0.88,                0.90981,                0.55889,                 1.3368,                0.72128,                 1.8371,               0.000496,               0.000496,               0.000496
                     98,                0.34077,                0.29719,                0.88355,                0.83207,                   0.88,                0.89912,                0.55484,                 1.3529,                0.73302,                 1.8483,               0.000397,               0.000397,               0.000397
                     99,                0.34351,                0.29895,                0.87833,                 0.9955,                   0.72,                0.89175,                0.55685,                 1.3409,                0.72437,                 1.8449,               0.000298,               0.000298,               0.000298
